"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2011","75.76","74.77","75.95","74.40","","1.23%"
"05/01/2011","74.84","72.99","74.92","72.70","","2.62%"
"04/24/2011","72.93","74.07","74.33","72.83","","-1.45%"
"04/17/2011","74.00","74.89","75.81","73.73","","-1.11%"
"04/10/2011","74.83","74.92","75.20","74.62","","-0.32%"
"04/03/2011","75.07","75.84","76.15","74.84","","-1.00%"
"03/27/2011","75.83","76.33","76.61","75.66","","-0.51%"
"03/20/2011","76.22","75.54","76.28","75.34","","0.66%"
"03/13/2011","75.72","76.52","77.04","75.54","","-1.38%"
"03/06/2011","76.78","76.36","77.38","76.12","","0.50%"
"02/27/2011","76.40","77.22","77.39","76.28","","-1.14%"
"02/20/2011","77.28","77.58","78.33","76.94","","-0.49%"
"02/13/2011","77.66","78.60","78.87","77.53","","-1.02%"
"02/06/2011","78.46","78.14","78.70","77.50","","0.54%"
"01/30/2011","78.04","78.11","78.33","76.88","","-0.12%"
"01/23/2011","78.13","78.08","78.51","77.59","","-0.10%"
"01/16/2011","78.21","79.06","79.60","78.10","","-1.20%"
"01/09/2011","79.16","81.16","81.31","78.81","","-2.28%"
"01/02/2011","81.01","79.14","81.14","78.89","","2.51%"
"12/26/2010","79.03","80.66","80.66","78.78","","-1.83%"
"12/19/2010","80.50","80.42","80.83","80.24","","0.16%"
"12/12/2010","80.37","80.18","80.62","78.82","","0.37%"
"12/05/2010","80.07","79.27","80.41","79.17","","0.87%"
"11/28/2010","79.38","80.20","81.44","79.06","","-1.22%"
"11/21/2010","80.36","78.31","80.52","77.97","","2.37%"
"11/14/2010","78.50","78.13","79.46","77.88","","0.54%"
"11/07/2010","78.08","76.55","78.48","76.38","","2.00%"
"10/31/2010","76.55","76.97","77.42","75.63","","-0.93%"
"10/24/2010","77.27","77.28","78.27","76.71","","-0.26%"
"10/17/2010","77.47","77.03","78.36","76.82","","0.56%"
"10/10/2010","77.04","77.18","77.93","76.14","","-0.38%"
"10/03/2010","77.33","78.12","78.69","76.91","","-0.97%"
"09/26/2010","78.09","79.33","79.82","78.03","","-1.64%"
"09/19/2010","79.39","81.41","81.50","79.25","","-2.47%"
"09/12/2010","81.40","82.47","82.48","80.86","","-1.57%"
"09/05/2010","82.70","82.04","82.99","81.88","","0.73%"
"08/29/2010","82.10","82.81","83.34","81.99","","-0.99%"
"08/22/2010","82.92","83.07","83.56","82.62","","-0.17%"
"08/15/2010","83.06","82.90","83.30","81.91","","0.13%"
"08/08/2010","82.95","80.32","82.96","80.27","","3.16%"
"08/01/2010","80.41","81.50","81.55","80.08","","-1.39%"
"07/25/2010","81.54","82.62","82.63","81.46","","-1.12%"
"07/18/2010","82.46","82.72","83.45","82.18","","-0.04%"
"07/11/2010","82.49","83.98","84.56","82.08","","-1.74%"
"07/04/2010","83.95","84.40","84.83","83.62","","-0.57%"
"06/27/2010","84.43","85.29","86.30","84.13","","-1.03%"
"06/20/2010","85.31","85.25","86.42","85.09","","-0.46%"
"06/13/2010","85.70","86.80","87.02","85.45","","-2.07%"
